hours_studied,attendance,previous_score,sleep_hours,assignments_completed,final_score
12,85,78,7,8,82
5,60,52,5,3,55
18,95,88,8,10,92
8,72,65,6,6,68
15,90,82,7,9,86
3,50,45,4,2,48
20,98,94,8,10,96
,80,70,7,7,74
14,88,79,6,9,83
6,65,58,5,4,60
16,92,85,8,9,89
4,55,48,6,2,50
11,78,73,,7,76
19,96,91,7,10,94
7,70,62,6,5,64
13,86,76,8,8,80
2,45,40,5,1,42
17,94,89,7,10,91
9,75,68,6,6,71
15,89,84,8,9,87
8,68,60,5,5,63
12,83,77,7,8,79
1,40,35,4,0,38
21,99,96,8,10,98
10,82,72,6,7,75
14,87,80,7,8,84
6,62,55,5,4,58
18,93,90,8,10,93
11,79,74,6,,77
3,52,46,5,2,47
16,91,86,7,9,88
7,73,64,6,5,67
13,84,78,8,8,81
5,58,50,5,3,52
19,97,93,8,10,95
9,76,69,7,6,72
15,90,83,6,9,85
4,54,47,5,2,49
12,81,75,7,7,78
17,95,87,8,10,90
8,69,63,6,5,65
14,88,81,7,8,84
2,42,38,4,1,40
20,98,95,8,10,97
10,77,71,6,6,73
13,85,79,7,8,82
6,64,56,5,4,59
16,93,88,8,9,89
11,80,72,6,7,75
7,71,61,6,5,66
12,85,78,7,8,82
5,60,52,5,3,55
14,88,79,6,9,83
11,78,73,,7,76
,91,82,7,8,85
15,,78,6,7,80
8,74,66,7,,70
10,82,72,6,7,75
13,84,78,8,8,81
4,54,47,5,2,49
